22.99, 2, orange, Entry
22.99, 2, orange, Exit
22.99, 1, orange, Entry
23.28, 1, white, Exit
23.28, 2, white, Entry
23.28, 2, white, Exit
23.28, 1, white, Entry
23.28, 1, orange, Exit
23.28, 4, orange, Entry
23.28, 4, orange, Exit
23.28, 3, orange, Entry
23.28, 3, orange, Exit
23.28, 4, orange, Entry
23.28, 4, orange, Exit
23.28, 2, orange, Entry
23.28, 2, orange, Exit
23.28, 4, orange, Entry
23.28, 4, orange, Exit
23.28, 2, orange, Entry
23.28, 2, orange, Exit
23.28, 1, orange, Entry
23.28, 1, orange, Exit
23.28, 2, orange, Entry
23.28, 2, orange, Exit
23.28, 1, orange, Entry
23.28, 2, yellow, Exit
23.28, 4, yellow, Entry
23.28, 4, yellow, Exit
23.28, 2, yellow, Entry
23.47, 1, white, Exit
23.47, 4, white, Entry
23.47, 4, white, Exit
23.47, 2, white, Entry
23.47, 2, white, Exit
23.47, 1, white, Entry
23.47, 1, white, Exit
23.47, 2, white, Entry
23.47, 1, orange, Exit
23.47, 4, orange, Entry
23.47, 4, orange, Exit
23.47, 3, orange, Entry
23.47, 3, orange, Exit
23.47, 4, orange, Entry
23.47, 4, orange, Exit
23.47, 2, orange, Entry
23.47, 2, orange, Exit
23.47, 4, orange, Entry
23.47, 4, orange, Exit
23.47, 2, orange, Entry
23.47, 2, orange, Exit
23.47, 1, orange, Entry
23.68, 2, white, Exit
23.68, 4, white, Entry
23.68, 4, white, Exit
23.68, 2, white, Entry
23.68, 2, white, Exit
23.68, 1, white, Entry
23.68, 1, white, Exit
23.68, 2, white, Entry
23.68, 1, orange, Exit
23.68, 4, orange, Entry
23.68, 4, orange, Exit
23.68, 3, orange, Entry
23.68, 3, orange, Exit
23.68, 4, orange, Entry
23.68, 4, orange, Exit
23.68, 2, orange, Entry
23.68, 2, orange, Exit
23.68, 4, orange, Entry
23.68, 4, orange, Exit
23.68, 2, orange, Entry
23.68, 2, orange, Exit
23.68, 1, orange, Entry
23.68, 2, yellow, Exit
23.68, 4, yellow, Entry
23.68, 4, yellow, Exit
23.68, 2, yellow, Entry
23.94, 1, orange, Exit
23.94, 3, orange, Entry
23.94, 3, orange, Exit
23.94, 4, orange, Entry
23.94, 4, orange, Exit
23.94, 2, orange, Entry
23.94, 2, orange, Exit
23.94, 4, orange, Entry
23.94, 4, orange, Exit
23.94, 2, orange, Entry
23.94, 2, orange, Exit
23.94, 1, orange, Entry
23.94, 2, yellow, Exit
23.94, 4, yellow, Entry
23.94, 4, yellow, Exit
23.94, 2, yellow, Entry
24.20, 2, white, Exit
24.20, 3, white, Entry
24.20, 3, white, Exit
24.20, 4, white, Entry
24.20, 4, white, Exit
24.20, 2, white, Entry
24.20, 2, white, Exit
24.20, 1, white, Entry
24.20, 1, white, Exit
24.20, 2, white, Entry
24.20, 2, white, Exit
24.20, 1, white, Entry
24.20, 1, white, Exit
24.20, 2, white, Entry
24.20, 2, white, Exit
24.20, 1, white, Entry
24.20, 1, orange, Exit
24.20, 3, orange, Entry
24.20, 3, orange, Exit
24.20, 4, orange, Entry
24.20, 4, orange, Exit
24.20, 2, orange, Entry
24.20, 2, orange, Exit
24.20, 4, orange, Entry
24.20, 4, orange, Exit
24.20, 2, orange, Entry
24.20, 2, orange, Exit
24.20, 1, orange, Entry
24.47, 1, white, Exit
24.47, 3, white, Entry
24.47, 3, white, Exit
24.47, 4, white, Entry
24.47, 4, white, Exit
24.47, 1, white, Entry
24.47, 1, white, Exit
24.47, 2, white, Entry
24.47, 2, white, Exit
24.47, 1, white, Entry
24.47, 1, white, Exit
24.47, 2, white, Entry
24.47, 2, white, Exit
24.47, 4, white, Entry
24.47, 4, white, Exit
